"		¡ˆ¡°π¯»£",¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’«≥º”(m/s),√÷¥Î«≥º”(m/s),√÷¥Î«≥º”«≥«‚(deg),"	√÷¥Î«≥º”Ω√∞¢",√÷¥Îº¯∞£«≥º”(m/s),√÷¥Îº¯∞£«≥º”«≥«‚(deg),"	√÷¥Îº¯∞£«≥º”Ω√∞¢"
"		101",√·√µ,2023-07-05,2.7,5.2,200,13:40,8.8,200,16:44
"		101",√·√µ,2023-07-06,1.7,3.7,180,15:04,6.7,230,16:31
"		101",√·√µ,2023-07-07,1.5,4.4,160,16:48,7.4,160,16:40
"		101",√·√µ,2023-07-08,1.3,3.1,230,12:48,5.2,230,17:07
"		101",√·√µ,2023-07-09,1.1,7.5,320,10:19,13.1,290,10:14
"		101",√·√µ,2023-07-10,1.4,3.1,230,15:53,5.2,160,7:13
"		101",√·√µ,2023-07-11,1,3.1,140,11:51,6.1,140,10:48
"		101",√·√µ,2023-07-12,0.8,2.5,200,15:05,3.7,200,15:32
"		101",√·√µ,2023-07-13,0.8,2.4,50,16:48,4.8,270,14:43
"		101",√·√µ,2023-07-14,1.4,3.6,160,13:33,6.3,140,13:02
"		101",√·√µ,2023-07-15,1.3,3.6,160,12:44,5.9,200,17:30
"		101",√·√µ,2023-07-16,1.3,3.4,180,12:06,6.3,200,11:09
"		101",√·√µ,2023-07-17,1,3.4,180,17:50,5,230,17:33
"		101",√·√µ,2023-07-18,0.7,1.9,320,20:47,2.8,140,6:40
"		101",√·√µ,2023-07-19,1,2.7,250,17:04,4.7,200,16:26
"		101",√·√µ,2023-07-20,1.3,2.7,320,1:16,4.9,230,15:51
"		101",√·√µ,2023-07-21,1.3,2.8,250,16:05,4.9,50,19:09
"		101",√·√µ,2023-07-22,1.6,4.6,180,20:01,9.1,160,19:56
"		101",√·√µ,2023-07-23,0.9,3,180,12:06,5.8,200,12:18
"		101",√·√µ,2023-07-24,1.1,3.2,160,18:54,5.3,230,16:01
"		101",√·√µ,2023-07-25,1.5,4.2,200,14:29,8.3,180,15:13
"		101",√·√µ,2023-07-26,1.1,3.8,320,13:21,7,290,13:21
"		101",√·√µ,2023-07-27,1.3,3.1,250,13:30,5.1,180,19:04
"		101",√·√µ,2023-07-28,1.4,3.6,250,13:01,5.2,250,13:05
"		101",√·√µ,2023-07-29,1.6,4.2,270,17:07,6.3,270,16:51
"		101",√·√µ,2023-07-30,1.4,3,320,19:50,4,250,12:32
"		101",√·√µ,2023-07-31,1.4,3.1,140,19:07,6.3,140,19:01
"		101",√·√µ,2023-08-01,1.2,3.2,250,13:59,4.9,270,13:42
"		101",√·√µ,2023-08-02,1.5,3.4,230,15:51,6.2,200,15:51
"		101",√·√µ,2023-08-03,1.6,3.7,180,12:44,6.5,180,12:29
"		101",√·√µ,2023-08-04,1.6,3.7,200,14:38,6,230,14:29
"		101",√·√µ,2023-08-05,1.4,3.2,250,15:59,5.1,230,15:13
"		101",√·√µ,2023-08-06,1.7,5.3,50,17:35,8.3,20,17:17
"		101",√·√µ,2023-08-07,2.7,4.8,20,18:12,7.2,70,16:22
"		101",√·√µ,2023-08-08,2.8,4.6,50,14:20,8,20,22:00
"		101",√·√µ,2023-08-09,2.4,4.3,50,12:53,7.2,50,20:23
"		101",√·√µ,2023-08-10,2.1,6.7,290,13:13,12.5,20,14:23
