"		¡ˆ¡°π¯»£",¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’«≥º”(m/s),√÷¥Î«≥º”(m/s),√÷¥Î«≥º”«≥«‚(deg),"	√÷¥Î«≥º”Ω√∞¢",√÷¥Îº¯∞£«≥º”(m/s),√÷¥Îº¯∞£«≥º”«≥«‚(deg),"	√÷¥Îº¯∞£«≥º”Ω√∞¢"
"		93",∫œ√·√µ,2017-06-17,1.5,4.1,230,17:28,6.3,230,17:35
"		93",∫œ√·√µ,2017-06-18,1.5,4.3,230,17:09,6.7,180,14:48
"		93",∫œ√·√µ,2017-06-19,1.3,4.2,230,17:05,5.8,250,17:03
"		93",∫œ√·√µ,2017-06-20,1.3,4.4,230,16:38,8.4,270,12:50
"		93",∫œ√·√µ,2017-06-21,1.6,4.6,250,18:58,7.6,230,18:56
"		93",∫œ√·√µ,2017-06-22,1.3,3.8,250,15:48,5.8,200,13:34
"		93",∫œ√·√µ,2017-06-23,1.3,4.3,50,21:34,6.7,50,21:18
"		93",∫œ√·√µ,2017-06-24,1.1,4.2,110,19:37,6.1,110,19:29
"		93",∫œ√·√µ,2017-06-25,0.9,3.2,20,13:12,5.5,360,13:06
"		93",∫œ√·√µ,2017-06-26,1.4,5.1,140,15:56,8.3,140,15:56
"		93",∫œ√·√µ,2017-06-27,1.3,4.9,200,19:31,7.6,200,19:27
"		93",∫œ√·√µ,2017-06-28,1.3,4.3,50,19:47,7.2,50,19:10
"		93",∫œ√·√µ,2017-06-29,1.3,4,200,15:31,6.3,180,12:46
"		93",∫œ√·√µ,2017-06-30,1.5,5.5,230,14:08,8.3,180,14:28
"		93",∫œ√·√µ,2017-07-01,1.9,4.8,230,15:45,7.3,200,20:09
"		93",∫œ√·√µ,2017-07-02,0.8,2.7,290,21:39,4.5,270,21:35
"		93",∫œ√·√µ,2017-07-03,1.6,5.3,230,13:04,7.8,340,4:46
"		93",∫œ√·√µ,2017-07-04,1.3,5,200,15:51,7.4,180,15:48
"		93",∫œ√·√µ,2017-07-05,1.2,4.2,360,18:52,6.9,20,17:56
"		93",∫œ√·√µ,2017-07-06,1.1,2.9,270,14:12,4.7,270,17:24
"		93",∫œ√·√µ,2017-07-07,1,3.3,230,15:50,5.5,290,22:27
"		93",∫œ√·√µ,2017-07-08,0.7,2.2,200,9:53,3.7,230,9:51
"		93",∫œ√·√µ,2017-07-09,0.9,6.3,250,22:32,10.5,230,22:25
"		93",∫œ√·√µ,2017-07-10,0.9,4.2,340,21:38,7.4,360,21:37
"		93",∫œ√·√µ,2017-07-11,1.6,5.1,230,12:52,7.5,230,13:03
"		93",∫œ√·√µ,2017-07-12,1.3,4.5,230,14:27,6.7,230,15:08
"		93",∫œ√·√µ,2017-07-13,1.1,3.9,230,17:34,6,90,14:07
"		93",∫œ√·√µ,2017-07-14,1.2,7.4,230,17:20,10.9,230,17:19
"		93",∫œ√·√µ,2017-07-15,1.2,4.1,200,14:19,6.9,200,18:35
"		93",∫œ√·√µ,2017-07-16,1.3,3.8,200,15:39,5.4,200,15:41
"		93",∫œ√·√µ,2017-07-17,1.1,3.9,230,18:07,6.2,230,18:34
"		93",∫œ√·√µ,2017-07-18,1.1,3.9,230,15:28,5.3,200,14:07
"		93",∫œ√·√µ,2017-07-19,0.8,2.5,250,17:33,4.6,270,14:08
"		93",∫œ√·√µ,2017-07-20,1.2,3.7,230,14:14,5.6,250,14:07
"		93",∫œ√·√µ,2017-07-21,1.3,4.5,230,13:24,6.6,230,13:23
"		93",∫œ√·√µ,2017-07-22,0.3,2.6,230,11:01,3.8,230,11:01
"		93",∫œ√·√µ,2017-07-23,0.2,1.8,90,9:59,2.8,360,9:32
"		93",∫œ√·√µ,2017-07-24,0.4,2.9,250,17:05,4.2,250,17:05
"		93",∫œ√·√µ,2017-07-25,1.5,4.7,90,16:26,8.1,110,19:44
"		93",∫œ√·√µ,2017-07-26,1.2,3,250,15:10,5.3,140,0:22
"		93",∫œ√·√µ,2017-07-27,0.7,1.9,290,11:18,2.9,290,11:22
"		93",∫œ√·√µ,2017-07-28,0.6,1.6,70,0:47,2.5,360,13:11
"		93",∫œ√·√µ,2017-07-29,1.2,3.2,90,17:03,5.5,110,17:02
"		93",∫œ√·√µ,2017-07-30,0.9,3.1,230,14:27,5.2,270,13:12
"		93",∫œ√·√µ,2017-07-31,0.9,2.1,360,7:36,3.9,50,7:29
"		93",∫œ√·√µ,2017-08-01,1.1,3.7,270,15:02,5.6,250,14:59
"		93",∫œ√·√µ,2017-08-02,1,2.5,70,19:22,3.6,70,19:15
"		93",∫œ√·√µ,2017-08-03,1.1,3.8,110,18:02,5.6,110,18:11
"		93",∫œ√·√µ,2017-08-04,0.9,2.5,270,14:04,4.6,290,13:06
"		93",∫œ√·√µ,2017-08-05,1.1,4.4,360,17:00,7.2,360,17:00
"		93",∫œ√·√µ,2017-08-06,1,6.4,50,21:19,10.5,70,21:16
"		93",∫œ√·√µ,2017-08-07,1.2,3.9,250,16:33,5.9,180,14:46
"		93",∫œ√·√µ,2017-08-08,1.1,5.6,230,17:12,7.7,250,17:10
"		93",∫œ√·√µ,2017-08-09,1.3,5,110,17:08,9,140,17:01
"		93",∫œ√·√µ,2017-08-10,0.8,2.4,360,12:03,4.5,360,11:57
"		93",∫œ√·√µ,2017-08-11,1.4,4.6,50,15:55,7.5,50,15:49
"		93",∫œ√·√µ,2017-08-12,1.2,3.3,110,18:10,5.4,160,12:01
"		93",∫œ√·√µ,2017-08-13,2.2,4.7,50,14:18,8.1,90,16:46
"		93",∫œ√·√µ,2017-08-14,2.3,5.4,70,7:42,9.7,50,9:42
"		93",∫œ√·√µ,2017-08-15,1.3,4.1,90,5:54,7.2,70,16:47
"		93",∫œ√·√µ,2017-08-16,1.5,3.7,50,13:45,6.6,90,11:37
"		93",∫œ√·√µ,2017-08-17,0.9,2.4,250,2:18,4.4,340,1:25
"		93",∫œ√·√µ,2017-08-18,0.9,4,360,13:19,6.4,360,13:14
"		93",∫œ√·√µ,2017-08-19,1,2.7,90,21:58,4.7,70,21:51
"		93",∫œ√·√µ,2017-08-20,0.7,2.1,270,13:44,2.9,270,13:35
"		93",∫œ√·√µ,2017-08-21,1,3.9,140,0:25,7.4,140,0:34
"		93",∫œ√·√µ,2017-08-22,1,3.4,230,12:40,5.3,250,14:50
"		93",∫œ√·√µ,2017-08-23,0.7,3.1,230,19:29,6.2,200,19:23
"		93",∫œ√·√µ,2017-08-24,1.4,6,360,13:26,12.2,20,13:23
"		93",∫œ√·√µ,2017-08-25,1.1,4.1,270,17:00,6.7,270,16:53
"		93",∫œ√·√µ,2017-08-26,1.2,4.5,290,14:42,6.8,270,13:06
"		93",∫œ√·√µ,2017-08-27,0.8,2.5,230,13:34,3.6,200,12:33
"		93",∫œ√·√µ,2017-08-28,0.9,4.2,360,16:57,6.2,20,16:53
"		93",∫œ√·√µ,2017-08-29,1.2,4.1,270,16:43,5.7,250,16:38
"		93",∫œ√·√µ,2017-08-30,0.7,1.9,230,18:04,3,250,16:05
"		93",∫œ√·√µ,2017-08-31,1,3.1,50,14:46,4.7,20,14:37
"		93",∫œ√·√µ,2017-09-01,1,2.7,180,12:57,4.4,250,14:04
"		93",∫œ√·√µ,2017-09-02,1,3.1,180,13:40,4.8,200,13:34
"		93",∫œ√·√µ,2017-09-03,0.8,2.4,230,13:34,4.7,270,15:10
"		93",∫œ√·√µ,2017-09-04,0.9,2.7,200,12:18,4.6,230,14:17
"		93",∫œ√·√µ,2017-09-05,0.7,2.3,230,12:51,3.6,250,12:34
"		93",∫œ√·√µ,2017-09-06,0.6,1.8,70,0:37,2.5,110,19:47
"		93",∫œ√·√µ,2017-09-07,0.9,2.8,250,13:23,4.6,200,14:31
"		93",∫œ√·√µ,2017-09-08,1,3.2,230,17:23,4.6,230,15:03
"		93",∫œ√·√µ,2017-09-09,0.7,1.9,250,17:42,3.4,140,15:27
"		93",∫œ√·√µ,2017-09-10,0.7,2.9,250,20:48,4.2,250,20:44
"		93",∫œ√·√µ,2017-09-11,1.1,3.6,70,16:38,5.9,70,16:35
"		93",∫œ√·√µ,2017-09-12,1,3,270,17:27,5.2,270,17:06
"		93",∫œ√·√µ,2017-09-13,0.9,2.7,230,15:34,4.8,230,13:28
"		93",∫œ√·√µ,2017-09-14,1,2.7,290,15:13,4.4,230,14:50
"		93",∫œ√·√µ,2017-09-15,1.9,6,50,14:23,10.7,20,12:12
"		93",∫œ√·√µ,2017-09-16,1.5,4.8,90,11:15,8.4,90,11:15
"		93",∫œ√·√µ,2017-09-17,1.8,5.2,110,13:07,7.8,70,12:34
"		93",∫œ√·√µ,2017-09-18,1.2,4.2,270,14:56,8,250,14:09
"		93",∫œ√·√µ,2017-09-19,1,4.4,320,21:06,8.5,290,20:59
"		93",∫œ√·√µ,2017-09-20,1.3,4,230,13:38,5.9,180,13:36
"		93",∫œ√·√µ,2017-09-21,0.9,3.1,270,13:38,4.5,270,13:31
"		93",∫œ√·√µ,2017-09-22,0.9,2.9,270,14:52,4.8,250,14:47
"		93",∫œ√·√µ,2017-09-23,0.9,3.4,230,16:50,4.9,230,16:49
"		93",∫œ√·√µ,2017-09-24,1.1,5.1,360,20:36,7.2,360,20:33
"		93",∫œ√·√µ,2017-09-25,0.9,3.5,250,14:16,4.8,250,14:10
"		93",∫œ√·√µ,2017-09-26,1,4.1,70,22:18,5.6,70,22:12
"		93",∫œ√·√µ,2017-09-27,1.2,4.9,90,16:08,7.5,90,16:08
"		93",∫œ√·√µ,2017-09-28,2,6,270,14:58,10,250,14:53
"		93",∫œ√·√µ,2017-09-29,1.6,6.2,230,14:15,9.3,230,14:37
"		93",∫œ√·√µ,2017-09-30,1,4.3,250,14:42,6,200,15:00
"		93",∫œ√·√µ,2017-10-01,0.7,1.9,140,16:04,3.6,20,9:20
"		93",∫œ√·√µ,2017-10-02,1.3,4.9,140,14:10,7,160,13:41
"		93",∫œ√·√µ,2017-10-03,1.7,5,70,10:00,8.1,70,10:32
"		93",∫œ√·√µ,2017-10-04,1.2,3.3,70,11:54,5.5,110,13:57
"		93",∫œ√·√µ,2017-10-05,0.7,2.4,250,13:47,4.4,250,13:41
"		93",∫œ√·√µ,2017-10-06,0.9,3.9,110,11:33,6.4,140,11:29
"		93",∫œ√·√µ,2017-10-07,0.9,3.3,180,14:01,4.6,200,12:25
"		93",∫œ√·√µ,2017-10-08,1,2.8,250,16:35,4.7,200,12:24
"		93",∫œ√·√µ,2017-10-09,1,3.5,230,14:46,5.3,250,14:45
"		93",∫œ√·√µ,2017-10-10,1,3.2,140,15:49,4.7,160,15:43
"		93",∫œ√·√µ,2017-10-11,1.4,4.5,230,14:58,7.4,200,14:56
"		93",∫œ√·√µ,2017-10-12,0.9,3.4,230,16:46,5,230,16:45
"		93",∫œ√·√µ,2017-10-13,1.2,4.1,250,14:34,5.6,250,14:30
"		93",∫œ√·√µ,2017-10-14,1.1,4.2,290,14:09,6.6,270,14:01
"		93",∫œ√·√µ,2017-10-15,0.9,3.1,290,15:38,4.5,290,13:29
"		93",∫œ√·√µ,2017-10-16,0.8,2.8,250,15:48,4.8,200,14:33
"		93",∫œ√·√µ,2017-10-17,0.9,2.9,250,13:57,5.1,200,13:06
"		93",∫œ√·√µ,2017-10-18,1,3.2,110,20:34,6,140,20:30
"		93",∫œ√·√µ,2017-10-19,0.8,3,110,14:57,4.6,110,14:51
"		93",∫œ√·√µ,2017-10-20,0.7,1.8,230,12:09,3.7,290,14:55
"		93",∫œ√·√µ,2017-10-21,0.8,2.3,230,15:13,4.1,160,13:45
"		93",∫œ√·√µ,2017-10-22,2.2,5.5,50,20:01,11.1,70,20:21
"		93",∫œ√·√µ,2017-10-23,1.8,4.1,20,0:04,7.9,360,0:13
"		93",∫œ√·√µ,2017-10-24,0.8,3.4,230,14:19,5.4,180,14:11
"		93",∫œ√·√µ,2017-10-25,0.7,2.2,200,15:32,3.6,270,14:45
"		93",∫œ√·√µ,2017-10-26,0.8,2.3,70,18:01,3.5,230,18:52
"		93",∫œ√·√µ,2017-10-27,0.8,2.4,230,14:59,4,50,12:34
"		93",∫œ√·√µ,2017-10-28,0.8,2.4,200,14:45,4.5,340,2:22
"		93",∫œ√·√µ,2017-10-29,1.6,5.4,270,14:53,7.9,270,14:47
