"		瘤痢锅龋",瘤痢疙,老矫,乞闭浅加(m/s),弥措浅加(m/s),弥措浅加浅氢(deg),"	弥措浅加矫阿",弥措鉴埃浅加(m/s),弥措鉴埃浅加浅氢(deg),"	弥措鉴埃浅加矫阿"
"		211",牢力,2017-10-05,1.5,2.7,20,6:29,4.7,50,6:14
"		211",牢力,2017-10-06,1.4,2.7,50,11:57,4.9,20,6:27
"		211",牢力,2017-10-07,1.4,3.2,70,15:47,5.5,360,11:38
"		211",牢力,2017-10-08,1,3.4,160,12:50,5.9,140,12:33
"		211",牢力,2017-10-09,1.1,3.3,180,13:02,5.8,160,12:34
"		211",牢力,2017-10-10,2.1,5.3,20,12:23,8.4,20,12:14
"		211",牢力,2017-10-11,1.8,4.1,20,3:20,7.1,160,15:52
"		211",牢力,2017-10-12,1,2.4,160,14:51,4.5,160,14:40
"		211",牢力,2017-10-13,1.3,2.9,200,14:20,5,200,16:47
"		211",牢力,2017-10-14,1.5,2.8,160,13:02,5.1,230,12:19
"		211",牢力,2017-10-15,1.6,3.6,360,15:06,5.9,360,15:16
"		211",牢力,2017-10-16,1.2,3,160,14:08,5,140,14:02
"		211",牢力,2017-10-17,1.5,2.8,20,16:15,5.3,20,16:09
"		211",牢力,2017-10-18,1,2.3,340,1:15,4.4,140,18:30
"		211",牢力,2017-10-19,1.1,2.2,20,16:36,4,20,16:34
"		211",牢力,2017-10-20,1.5,2.8,160,12:21,4.6,360,7:03
"		211",牢力,2017-10-21,1.5,3.5,360,15:28,6.1,360,14:09
"		211",牢力,2017-10-22,3,6.2,360,18:42,10.1,20,18:38
"		211",牢力,2017-10-23,2.7,4.8,20,10:31,7.4,360,10:37
"		211",牢力,2017-10-24,1.5,3.1,360,5:56,5.2,160,13:24
"		211",牢力,2017-10-25,1,3.5,160,12:15,5.7,140,12:11
"		211",牢力,2017-10-26,0.8,2.5,200,15:38,5,200,15:35
"		211",牢力,2017-10-27,1.4,3.6,20,14:58,5.9,50,15:36
"		211",牢力,2017-10-28,1.5,3.7,20,15:48,5.4,70,15:27
"		211",牢力,2017-10-29,1.6,3.9,160,12:50,6.4,180,15:27
"		211",牢力,2017-10-30,1.6,4.4,180,14:01,6.4,180,12:42
"		211",牢力,2017-10-31,1.7,5.1,160,15:07,8.8,160,15:10
"		211",牢力,2017-11-01,2.3,4.8,160,12:54,8,180,11:28
"		211",牢力,2017-11-02,1.1,3.2,160,13:13,5.8,160,21:16
"		211",牢力,2017-11-03,2.4,5.2,20,22:18,7.2,50,22:09
"		211",牢力,2017-11-04,1.5,4.7,160,14:15,7.9,160,14:32
"		211",牢力,2017-11-05,1.2,4.4,160,14:12,6.8,160,14:45
"		211",牢力,2017-11-06,1.3,4,160,13:19,6.4,160,13:14
"		211",牢力,2017-11-07,1.4,3.6,180,13:47,6,180,16:48
"		211",牢力,2017-11-08,2.4,4.6,160,7:14,8.4,250,14:42
"		211",牢力,2017-11-09,0.9,3,160,12:19,5.2,160,14:07
"		211",牢力,2017-11-10,2.3,6.1,160,16:48,11.1,160,16:28
"		211",牢力,2017-11-11,1.7,4.7,160,1:08,8.5,180,1:03
"		211",牢力,2017-11-12,1.1,3.9,180,14:42,6.6,180,15:44
"		211",牢力,2017-11-13,2,5,160,17:36,9.3,160,17:27
"		211",牢力,2017-11-14,2.6,5.4,180,10:58,11,200,12:12
"		211",牢力,2017-11-15,2.4,5.5,180,11:53,10,180,11:46
"		211",牢力,2017-11-16,1.1,4.1,180,12:53,6.4,180,13:29
"		211",牢力,2017-11-17,1.2,3.1,180,18:29,4.8,200,13:18
"		211",牢力,2017-11-18,1.9,4.2,180,13:46,7.1,160,13:01
"		211",牢力,2017-11-19,1.5,4.5,200,11:47,9.1,160,12:09
"		211",牢力,2017-11-20,2.3,5.3,180,13:27,8.5,160,13:24
"		211",牢力,2017-11-21,1.3,4,180,15:32,6.2,160,15:14
"		211",牢力,2017-11-22,1.4,3.5,180,14:15,5.8,200,14:07
"		211",牢力,2017-11-23,1.8,4.5,180,10:51,8.2,160,11:28
"		211",牢力,2017-11-24,1.8,5.5,160,11:32,9.7,180,11:32
"		211",牢力,2017-11-25,1.5,4.3,160,16:25,7.6,180,16:21
"		211",牢力,2017-11-26,0.8,3.3,180,11:45,6.6,180,11:41
"		211",牢力,2017-11-27,1.2,3.2,50,5:26,4.7,160,13:26
"		211",牢力,2017-11-28,2.1,5,180,15:52,8,160,15:54
"		211",牢力,2017-11-29,2.3,4.5,180,13:04,6.9,140,4:04
"		211",牢力,2017-11-30,1.4,3.5,180,13:17,6.9,160,14:12
"		211",牢力,2017-12-01,1.6,5.4,160,14:31,9.1,140,14:30
"		211",牢力,2017-12-02,1.4,4.5,160,15:19,8.4,160,14:36
"		211",牢力,2017-12-03,2.1,4.4,180,13:06,7.6,160,6:04
"		211",牢力,2017-12-04,1.9,4.4,160,9:45,8.8,160,9:59
"		211",牢力,2017-12-05,1.7,4.5,180,11:37,8.1,200,11:37
"		211",牢力,2017-12-06,1.8,4.7,160,14:52,7.6,180,19:53
"		211",牢力,2017-12-07,1.5,4.4,180,13:41,8.8,200,13:44
"		211",牢力,2017-12-08,2.1,4.4,160,13:58,8.2,160,14:45
"		211",牢力,2017-12-09,1.2,4.3,180,14:31,7.2,140,15:54
"		211",牢力,2017-12-10,1.6,4.7,160,17:44,9.4,180,17:39
"		211",牢力,2017-12-11,2.5,5.4,180,10:49,11.3,180,10:30
"		211",牢力,2017-12-12,1.7,4.4,160,13:48,8.1,160,13:02
"		211",牢力,2017-12-13,1,3.8,180,13:49,5.6,180,13:29
"		211",牢力,2017-12-14,0.6,2.6,360,10:03,4.4,20,9:58
"		211",牢力,2017-12-15,1.6,4,180,21:37,7.2,160,21:44
"		211",牢力,2017-12-16,2.5,5.4,180,14:02,9.9,200,15:21
"		211",牢力,2017-12-17,1.7,4.8,160,14:31,8.3,160,14:40
"		211",牢力,2017-12-18,1.5,4.2,160,17:30,7,140,15:25
"		211",牢力,2017-12-19,1.9,4.9,160,14:58,8.5,160,14:23
"		211",牢力,2017-12-20,0.9,3.3,180,14:34,6.6,160,13:57
"		211",牢力,2017-12-21,2,4.8,160,14:36,7.7,160,14:40
"		211",牢力,2017-12-22,1.6,3.9,160,14:26,7.3,140,15:24
"		211",牢力,2017-12-23,1.9,4.5,180,12:54,6.9,180,14:24
"		211",牢力,2017-12-24,1.2,4.1,180,18:44,8,180,18:43
"		211",牢力,2017-12-25,2.9,5.1,180,19:25,8.1,140,18:07
"		211",牢力,2017-12-26,2.6,4.5,180,7:22,7.3,140,10:30
"		211",牢力,2017-12-27,1.9,4.9,180,14:40,7.8,140,14:36
