지역,측정소명,날짜,일산화탄소 농도
원주시,반곡동,2018-08-29,0.2
강릉시,옥천동,2018-08-29,0.3
동해시,천곡동,2018-08-29,0.7
삼척시,남양동,2018-08-29,0.4
평창군,평창읍,2018-08-29,0.3
춘천시,중앙로,2018-08-30,0.3
춘천시,석사동,2018-08-30,0.5
원주시,중앙동,2018-08-30,0.2
원주시,반곡동,2018-08-30,0.2
강릉시,옥천동,2018-08-30,0.2
동해시,천곡동,2018-08-30,0.6
삼척시,남양동,2018-08-30,0.3
평창군,평창읍,2018-08-30,0.3
춘천시,중앙로,2018-08-31,0.3
춘천시,석사동,2018-08-31,0.5
원주시,중앙동,2018-08-31,0.2
원주시,반곡동,2018-08-31,0.4
강릉시,옥천동,2018-08-31,0.3
동해시,천곡동,2018-08-31,0.4
삼척시,남양동,2018-08-31,0.3
평창군,평창읍,2018-08-31,0.4
