ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ Áö¸é¿Âµµ(¡ÆC)
104,ºÏ°­¸ª,2017-03-11,5.7
104,ºÏ°­¸ª,2017-03-12,7.6
104,ºÏ°­¸ª,2017-03-13,8.5
104,ºÏ°­¸ª,2017-03-14,3.1
104,ºÏ°­¸ª,2017-03-15,4.2
104,ºÏ°­¸ª,2017-03-16,6.7
104,ºÏ°­¸ª,2017-03-17,9.1
104,ºÏ°­¸ª,2017-03-18,9.9
104,ºÏ°­¸ª,2017-03-19,10.9
104,ºÏ°­¸ª,2017-03-20,9.0
104,ºÏ°­¸ª,2017-03-21,7.6
104,ºÏ°­¸ª,2017-03-22,9.2
104,ºÏ°­¸ª,2017-03-23,6.9
104,ºÏ°­¸ª,2017-03-24,7.7
104,ºÏ°­¸ª,2017-03-25,8.0
104,ºÏ°­¸ª,2017-03-26,7.3
104,ºÏ°­¸ª,2017-03-27,7.0
104,ºÏ°­¸ª,2017-03-28,9.1
104,ºÏ°­¸ª,2017-03-29,10.9
104,ºÏ°­¸ª,2017-03-30,11.6
104,ºÏ°­¸ª,2017-03-31,8.1
104,ºÏ°­¸ª,2017-04-01,6.7
104,ºÏ°­¸ª,2017-04-02,11.4
104,ºÏ°­¸ª,2017-04-03,14.0
104,ºÏ°­¸ª,2017-04-04,14.9
104,ºÏ°­¸ª,2017-04-05,11.8
104,ºÏ°­¸ª,2017-04-06,14.2
104,ºÏ°­¸ª,2017-04-07,15.9
104,ºÏ°­¸ª,2017-04-08,17.4
104,ºÏ°­¸ª,2017-04-09,13.8
104,ºÏ°­¸ª,2017-04-10,12.6
104,ºÏ°­¸ª,2017-04-11,13.5
104,ºÏ°­¸ª,2017-04-12,14.1
104,ºÏ°­¸ª,2017-04-13,13.7
104,ºÏ°­¸ª,2017-04-14,14.1
104,ºÏ°­¸ª,2017-04-15,17.4
104,ºÏ°­¸ª,2017-04-16,17.8
104,ºÏ°­¸ª,2017-04-17,12.9
104,ºÏ°­¸ª,2017-04-18,14.2
