¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’ ¡ˆ∏Èø¬µµ(°∆C)
101,√·√µ,2017-03-29,8.2
101,√·√µ,2017-03-30,9.6
101,√·√µ,2017-03-31,7.9
101,√·√µ,2017-04-01,9.9
101,√·√µ,2017-04-02,10.1
101,√·√µ,2017-04-03,11.1
101,√·√µ,2017-04-04,11.8
101,√·√µ,2017-04-05,10.2
101,√·√µ,2017-04-06,13.7
101,√·√µ,2017-04-07,16.7
101,√·√µ,2017-04-08,16.9
101,√·√µ,2017-04-09,15.8
101,√·√µ,2017-04-10,15.8
101,√·√µ,2017-04-11,15.8
101,√·√µ,2017-04-12,14.5
101,√·√µ,2017-04-13,14.5
101,√·√µ,2017-04-14,13.8
101,√·√µ,2017-04-15,16.5
101,√·√µ,2017-04-16,17.5
101,√·√µ,2017-04-17,14.2
101,√·√µ,2017-04-18,12.0
101,√·√µ,2017-04-19,14.9
101,√·√µ,2017-04-20,14.3
101,√·√µ,2017-04-21,14.8
101,√·√µ,2017-04-22,16.9
101,√·√µ,2017-04-23,16.8
101,√·√µ,2017-04-24,16.8
101,√·√µ,2017-04-25,17.4
101,√·√µ,2017-04-26,19.3
101,√·√µ,2017-04-27,16.9
101,√·√µ,2017-04-28,17.7
101,√·√µ,2017-04-29,18.7
101,√·√µ,2017-04-30,20.0
101,√·√µ,2017-05-01,22.3
101,√·√µ,2017-05-02,21.8
101,√·√µ,2017-05-03,23.3
101,√·√µ,2017-05-04,22.9
101,√·√µ,2017-05-05,25.3
101,√·√µ,2017-05-06,21.6
101,√·√µ,2017-05-07,21.9
101,√·√µ,2017-05-08,21.3
101,√·√µ,2017-05-09,19.5
101,√·√µ,2017-05-10,18.7
101,√·√µ,2017-05-11,21.8
101,√·√µ,2017-05-12,18.8
101,√·√µ,2017-05-13,17.5
101,√·√µ,2017-05-14,18.6
101,√·√µ,2017-05-15,18.2
101,√·√µ,2017-05-16,19.4
101,√·√µ,2017-05-17,22.1
101,√·√µ,2017-05-18,23.2
101,√·√µ,2017-05-19,24.3
101,√·√µ,2017-05-20,25.2
101,√·√µ,2017-05-21,26.3
