지역,측정소명,날짜,미세먼지 농도
삼척시,남양동,2020-11-11,14
평창군,평창읍,2020-11-11,34
정선군,정선읍,2020-11-11,21
횡성군,횡성읍,2020-11-11,33
고성군,상리,2020-11-11,17
양양군,양양읍,2020-11-11,17
속초시,금호동,2020-11-11,24
철원군,갈말읍,2020-11-11,36
홍천군,홍천읍,2020-11-11,99
영월군,영월읍,2020-11-11,26
화천군,화천읍,2020-11-11,27
태백시,황지동,2020-11-11,-486
인제군,인제읍,2020-11-11,24
춘천시,중앙로,2020-11-12,46
춘천시,석사동,2020-11-12,39
춘천시,신사우동,2020-11-12,44
양구군,양구읍,2020-11-12,33
원주시,중앙동,2020-11-12,42
원주시,반곡동,2020-11-12,44
원주시,문막읍,2020-11-12,42
강릉시,옥천동,2020-11-12,23
동해시,천곡동,2020-11-12,17
삼척시,남양동,2020-11-12,16
평창군,평창읍,2020-11-12,40
정선군,정선읍,2020-11-12,29
횡성군,횡성읍,2020-11-12,39
고성군,상리,2020-11-12,21
양양군,양양읍,2020-11-12,18
속초시,금호동,2020-11-12,26
철원군,갈말읍,2020-11-12,40
홍천군,홍천읍,2020-11-12,45
영월군,영월읍,2020-11-12,32
화천군,화천읍,2020-11-12,32
태백시,황지동,2020-11-12,-538
인제군,인제읍,2020-11-12,31
춘천시,중앙로,2020-11-13,58
춘천시,석사동,2020-11-13,50
춘천시,신사우동,2020-11-13,63
양구군,양구읍,2020-11-13,42
원주시,중앙동,2020-11-13,68
원주시,반곡동,2020-11-13,58
원주시,문막읍,2020-11-13,55
강릉시,옥천동,2020-11-13,40
동해시,천곡동,2020-11-13,25
삼척시,남양동,2020-11-13,24
평창군,평창읍,2020-11-13,51
정선군,정선읍,2020-11-13,42
횡성군,횡성읍,2020-11-13,55
고성군,상리,2020-11-13,32
양양군,양양읍,2020-11-13,34
속초시,금호동,2020-11-13,44
철원군,갈말읍,2020-11-13,52
홍천군,홍천읍,2020-11-13,56
영월군,영월읍,2020-11-13,43
화천군,화천읍,2020-11-13,44
태백시,황지동,2020-11-13,34
인제군,인제읍,2020-11-13,39
춘천시,중앙로,2020-11-14,54
춘천시,석사동,2020-11-14,45
춘천시,신사우동,2020-11-14,50
양구군,양구읍,2020-11-14,37
원주시,중앙동,2020-11-14,56
원주시,반곡동,2020-11-14,55
원주시,문막읍,2020-11-14,47
강릉시,옥천동,2020-11-14,36
동해시,천곡동,2020-11-14,27
삼척시,남양동,2020-11-14,23
평창군,평창읍,2020-11-14,42
정선군,정선읍,2020-11-14,36
횡성군,횡성읍,2020-11-14,46
고성군,상리,2020-11-14,32
양양군,양양읍,2020-11-14,31
속초시,금호동,2020-11-14,42
철원군,갈말읍,2020-11-14,36
홍천군,홍천읍,2020-11-14,48
영월군,영월읍,2020-11-14,38
화천군,화천읍,2020-11-14,36
태백시,황지동,2020-11-14,32
인제군,인제읍,2020-11-14,37
춘천시,중앙로,2020-11-15,52
춘천시,석사동,2020-11-15,47
춘천시,신사우동,2020-11-15,56
양구군,양구읍,2020-11-15,41
원주시,중앙동,2020-11-15,54
원주시,반곡동,2020-11-15,54
원주시,문막읍,2020-11-15,49
강릉시,옥천동,2020-11-15,35
동해시,천곡동,2020-11-15,22
삼척시,남양동,2020-11-15,21
평창군,평창읍,2020-11-15,41
정선군,정선읍,2020-11-15,35
횡성군,횡성읍,2020-11-15,55
고성군,상리,2020-11-15,30
양양군,양양읍,2020-11-15,27
속초시,금호동,2020-11-15,35
철원군,갈말읍,2020-11-15,51
홍천군,홍천읍,2020-11-15,55
영월군,영월읍,2020-11-15,34
화천군,화천읍,2020-11-15,36
태백시,황지동,2020-11-15,26
인제군,인제읍,2020-11-15,34
춘천시,중앙로,2020-11-16,70
춘천시,석사동,2020-11-16,66
춘천시,신사우동,2020-11-16,71
양구군,양구읍,2020-11-16,60
원주시,중앙동,2020-11-16,93
원주시,반곡동,2020-11-16,85
원주시,문막읍,2020-11-16,78
강릉시,옥천동,2020-11-16,74
동해시,천곡동,2020-11-16,50
삼척시,남양동,2020-11-16,44
평창군,평창읍,2020-11-16,68
정선군,정선읍,2020-11-16,66
횡성군,횡성읍,2020-11-16,74
고성군,상리,2020-11-16,70
양양군,양양읍,2020-11-16,68
속초시,금호동,2020-11-16,76
철원군,갈말읍,2020-11-16,57
홍천군,홍천읍,2020-11-16,84
영월군,영월읍,2020-11-16,57
화천군,화천읍,2020-11-16,35
태백시,황지동,2020-11-16,52
인제군,인제읍,2020-11-16,63
춘천시,중앙로,2020-11-17,76
춘천시,석사동,2020-11-17,62
춘천시,신사우동,2020-11-17,76
양구군,양구읍,2020-11-17,64
원주시,중앙동,2020-11-17,68
원주시,반곡동,2020-11-17,63
원주시,문막읍,2020-11-17,58
강릉시,옥천동,2020-11-17,65
동해시,천곡동,2020-11-17,47
삼척시,남양동,2020-11-17,44
평창군,평창읍,2020-11-17,61
정선군,정선읍,2020-11-17,55
횡성군,횡성읍,2020-11-17,66
고성군,상리,2020-11-17,60
양양군,양양읍,2020-11-17,57
속초시,금호동,2020-11-17,78
철원군,갈말읍,2020-11-17,72
홍천군,홍천읍,2020-11-17,69
영월군,영월읍,2020-11-17,46
화천군,화천읍,2020-11-17,38
태백시,황지동,2020-11-17,36
인제군,인제읍,2020-11-17,46
춘천시,중앙로,2020-11-18,55
춘천시,석사동,2020-11-18,57
춘천시,신사우동,2020-11-18,52
양구군,양구읍,2020-11-18,38
원주시,중앙동,2020-11-18,44
원주시,반곡동,2020-11-18,40
원주시,문막읍,2020-11-18,42
강릉시,옥천동,2020-11-18,47
동해시,천곡동,2020-11-18,28
삼척시,남양동,2020-11-18,28
평창군,평창읍,2020-11-18,42
정선군,정선읍,2020-11-18,196
횡성군,횡성읍,2020-11-18,39
고성군,상리,2020-11-18,46
양양군,양양읍,2020-11-18,17
속초시,금호동,2020-11-18,63
철원군,갈말읍,2020-11-18,41
홍천군,홍천읍,2020-11-18,55
영월군,영월읍,2020-11-18,29
화천군,화천읍,2020-11-18,38
태백시,황지동,2020-11-18,19
인제군,인제읍,2020-11-18,25
춘천시,중앙로,2020-11-19,13
춘천시,석사동,2020-11-19,11
춘천시,신사우동,2020-11-19,13
양구군,양구읍,2020-11-19,8
원주시,중앙동,2020-11-19,12
원주시,반곡동,2020-11-19,12
원주시,문막읍,2020-11-19,15
강릉시,옥천동,2020-11-19,14
동해시,천곡동,2020-11-19,14
삼척시,남양동,2020-11-19,15
평창군,평창읍,2020-11-19,16
정선군,정선읍,2020-11-19,-404
횡성군,횡성읍,2020-11-19,11
고성군,상리,2020-11-19,13
양양군,양양읍,2020-11-19,22
속초시,금호동,2020-11-19,22
철원군,갈말읍,2020-11-19,13
홍천군,홍천읍,2020-11-19,14
영월군,영월읍,2020-11-19,15
화천군,화천읍,2020-11-19,10
태백시,황지동,2020-11-19,-4163
인제군,인제읍,2020-11-19,6
춘천시,중앙로,2020-11-20,17
춘천시,석사동,2020-11-20,13
춘천시,신사우동,2020-11-20,17
양구군,양구읍,2020-11-20,14
원주시,중앙동,2020-11-20,19
원주시,반곡동,2020-11-20,23
원주시,문막읍,2020-11-20,19
강릉시,옥천동,2020-11-20,56
동해시,천곡동,2020-11-20,8
삼척시,남양동,2020-11-20,10
평창군,평창읍,2020-11-20,26
정선군,정선읍,2020-11-20,21
횡성군,횡성읍,2020-11-20,17
고성군,상리,2020-11-20,8
양양군,양양읍,2020-11-20,11
속초시,금호동,2020-11-20,13
철원군,갈말읍,2020-11-20,20
홍천군,홍천읍,2020-11-20,21
영월군,영월읍,2020-11-20,15
화천군,화천읍,2020-11-20,13
태백시,황지동,2020-11-20,-4989
인제군,인제읍,2020-11-20,13
춘천시,중앙로,2020-11-21,23
춘천시,석사동,2020-11-21,22
춘천시,신사우동,2020-11-21,27
양구군,양구읍,2020-11-21,16
원주시,중앙동,2020-11-21,22
원주시,반곡동,2020-11-21,25
원주시,문막읍,2020-11-21,21
강릉시,옥천동,2020-11-21,21
동해시,천곡동,2020-11-21,13
삼척시,남양동,2020-11-21,15
평창군,평창읍,2020-11-21,28
정선군,정선읍,2020-11-21,22
횡성군,횡성읍,2020-11-21,23
고성군,상리,2020-11-21,15
양양군,양양읍,2020-11-21,15
속초시,금호동,2020-11-21,22
철원군,갈말읍,2020-11-21,22
홍천군,홍천읍,2020-11-21,26
영월군,영월읍,2020-11-21,19
화천군,화천읍,2020-11-21,17
태백시,황지동,2020-11-21,16
인제군,인제읍,2020-11-21,20
춘천시,중앙로,2020-11-22,19
춘천시,석사동,2020-11-22,15
춘천시,신사우동,2020-11-22,19
양구군,양구읍,2020-11-22,12
원주시,중앙동,2020-11-22,16
원주시,반곡동,2020-11-22,17
원주시,문막읍,2020-11-22,16
강릉시,옥천동,2020-11-22,12
동해시,천곡동,2020-11-22,8
삼척시,남양동,2020-11-22,8
평창군,평창읍,2020-11-22,22
정선군,정선읍,2020-11-22,15
횡성군,횡성읍,2020-11-22,16
고성군,상리,2020-11-22,10
양양군,양양읍,2020-11-22,9
속초시,금호동,2020-11-22,15
철원군,갈말읍,2020-11-22,25
홍천군,홍천읍,2020-11-22,20
영월군,영월읍,2020-11-22,14
화천군,화천읍,2020-11-22,15
태백시,황지동,2020-11-22,11
인제군,인제읍,2020-11-22,14
춘천시,중앙로,2020-11-23,26
춘천시,석사동,2020-11-23,23
춘천시,신사우동,2020-11-23,27
양구군,양구읍,2020-11-23,22
원주시,중앙동,2020-11-23,27
원주시,반곡동,2020-11-23,28
원주시,문막읍,2020-11-23,24
강릉시,옥천동,2020-11-23,18
동해시,천곡동,2020-11-23,13
삼척시,남양동,2020-11-23,11
평창군,평창읍,2020-11-23,29
정선군,정선읍,2020-11-23,25
횡성군,횡성읍,2020-11-23,24
고성군,상리,2020-11-23,12
양양군,양양읍,2020-11-23,13
속초시,금호동,2020-11-23,18
철원군,갈말읍,2020-11-23,25
홍천군,홍천읍,2020-11-23,109
영월군,영월읍,2020-11-23,24
화천군,화천읍,2020-11-23,21
태백시,황지동,2020-11-23,15
인제군,인제읍,2020-11-23,19
춘천시,중앙로,2020-11-24,29
춘천시,석사동,2020-11-24,28
춘천시,신사우동,2020-11-24,31
양구군,양구읍,2020-11-24,22
원주시,중앙동,2020-11-24,31
원주시,반곡동,2020-11-24,34
원주시,문막읍,2020-11-24,29
강릉시,옥천동,2020-11-24,19
동해시,천곡동,2020-11-24,14
삼척시,남양동,2020-11-24,12
평창군,평창읍,2020-11-24,35
정선군,정선읍,2020-11-24,28
횡성군,횡성읍,2020-11-24,28
고성군,상리,2020-11-24,14
양양군,양양읍,2020-11-24,14
속초시,금호동,2020-11-24,182
철원군,갈말읍,2020-11-24,31
홍천군,홍천읍,2020-11-24,31
영월군,영월읍,2020-11-24,36
화천군,화천읍,2020-11-24,18
태백시,황지동,2020-11-24,21
인제군,인제읍,2020-11-24,20
춘천시,중앙로,2020-11-25,34
춘천시,석사동,2020-11-25,45
춘천시,신사우동,2020-11-25,36
양구군,양구읍,2020-11-25,27
원주시,중앙동,2020-11-25,40
원주시,반곡동,2020-11-25,36
원주시,문막읍,2020-11-25,29
강릉시,옥천동,2020-11-25,20
동해시,천곡동,2020-11-25,14
삼척시,남양동,2020-11-25,12
평창군,평창읍,2020-11-25,34
정선군,정선읍,2020-11-25,30
횡성군,횡성읍,2020-11-25,31
고성군,상리,2020-11-25,15
양양군,양양읍,2020-11-25,14
속초시,금호동,2020-11-25,19
철원군,갈말읍,2020-11-25,40
홍천군,홍천읍,2020-11-25,36
영월군,영월읍,2020-11-25,38
화천군,화천읍,2020-11-25,24
태백시,황지동,2020-11-25,21
인제군,인제읍,2020-11-25,19
춘천시,중앙로,2020-11-26,39
춘천시,석사동,2020-11-26,50
춘천시,신사우동,2020-11-26,38
양구군,양구읍,2020-11-26,23
원주시,중앙동,2020-11-26,49
원주시,반곡동,2020-11-26,48
원주시,문막읍,2020-11-26,36
강릉시,옥천동,2020-11-26,27
동해시,천곡동,2020-11-26,19
삼척시,남양동,2020-11-26,18
평창군,평창읍,2020-11-26,42
정선군,정선읍,2020-11-26,32
횡성군,횡성읍,2020-11-26,38
고성군,상리,2020-11-26,22
양양군,양양읍,2020-11-26,22
속초시,금호동,2020-11-26,27
철원군,갈말읍,2020-11-26,53
홍천군,홍천읍,2020-11-26,41
영월군,영월읍,2020-11-26,43
화천군,화천읍,2020-11-26,30
태백시,황지동,2020-11-26,31
인제군,인제읍,2020-11-26,26
춘천시,중앙로,2020-11-27,34
춘천시,석사동,2020-11-27,40
춘천시,신사우동,2020-11-27,34
양구군,양구읍,2020-11-27,26
원주시,중앙동,2020-11-27,44
원주시,반곡동,2020-11-27,42
원주시,문막읍,2020-11-27,34
강릉시,옥천동,2020-11-27,33
동해시,천곡동,2020-11-27,16
삼척시,남양동,2020-11-27,20
평창군,평창읍,2020-11-27,38
정선군,정선읍,2020-11-27,36
횡성군,횡성읍,2020-11-27,35
고성군,상리,2020-11-27,14
양양군,양양읍,2020-11-27,20
속초시,금호동,2020-11-27,25
철원군,갈말읍,2020-11-27,40
홍천군,홍천읍,2020-11-27,38
영월군,영월읍,2020-11-27,43
화천군,화천읍,2020-11-27,25
태백시,황지동,2020-11-27,30
인제군,인제읍,2020-11-27,28
춘천시,중앙로,2020-11-28,22
춘천시,석사동,2020-11-28,30
춘천시,신사우동,2020-11-28,27
양구군,양구읍,2020-11-28,17
원주시,중앙동,2020-11-28,23
원주시,반곡동,2020-11-28,24
원주시,문막읍,2020-11-28,22
강릉시,옥천동,2020-11-28,22
동해시,천곡동,2020-11-28,11
삼척시,남양동,2020-11-28,14
평창군,평창읍,2020-11-28,30
정선군,정선읍,2020-11-28,27
횡성군,횡성읍,2020-11-28,22
고성군,상리,2020-11-28,15
양양군,양양읍,2020-11-28,17
속초시,금호동,2020-11-28,22
철원군,갈말읍,2020-11-28,30
홍천군,홍천읍,2020-11-28,30
영월군,영월읍,2020-11-28,28
화천군,화천읍,2020-11-28,23
태백시,황지동,2020-11-28,18
인제군,인제읍,2020-11-28,20
춘천시,중앙로,2020-11-29,21
춘천시,석사동,2020-11-29,28
춘천시,신사우동,2020-11-29,28
양구군,양구읍,2020-11-29,18
원주시,중앙동,2020-11-29,27
원주시,반곡동,2020-11-29,26
원주시,문막읍,2020-11-29,24
강릉시,옥천동,2020-11-29,21
동해시,천곡동,2020-11-29,8
삼척시,남양동,2020-11-29,10
평창군,평창읍,2020-11-29,28
정선군,정선읍,2020-11-29,27
횡성군,횡성읍,2020-11-29,24
고성군,상리,2020-11-29,14
양양군,양양읍,2020-11-29,17
속초시,금호동,2020-11-29,19
철원군,갈말읍,2020-11-29,25
홍천군,홍천읍,2020-11-29,28
영월군,영월읍,2020-11-29,25
화천군,화천읍,2020-11-29,20
태백시,황지동,2020-11-29,16
인제군,인제읍,2020-11-29,19
춘천시,중앙로,2020-11-30,25
춘천시,석사동,2020-11-30,32
춘천시,신사우동,2020-11-30,29
양구군,양구읍,2020-11-30,20
원주시,중앙동,2020-11-30,26
원주시,반곡동,2020-11-30,27
