지역,측정소명,날짜,이산화질소 농도
동해시,천곡동,2019-12-06,0.015
삼척시,남양동,2019-12-06,0.014
속초시,금호동,2019-12-06,0.011
태백시,황지동,2019-12-06,0.013
춘천시,중앙로,2019-12-07,0.027
춘천시,석사동,2019-12-07,0.032
원주시,중앙동,2019-12-07,0.033
원주시,반곡동,2019-12-07,0.030
원주시,문막읍,2019-12-07,0.032
강릉시,옥천동,2019-12-07,0.009
동해시,천곡동,2019-12-07,0.008
삼척시,남양동,2019-12-07,0.013
속초시,금호동,2019-12-07,0.009
태백시,황지동,2019-12-07,0.008
춘천시,중앙로,2019-12-08,0.029
춘천시,석사동,2019-12-08,0.031
원주시,중앙동,2019-12-08,0.027
원주시,반곡동,2019-12-08,0.025
원주시,문막읍,2019-12-08,0.025
강릉시,옥천동,2019-12-08,0.012
동해시,천곡동,2019-12-08,0.025
삼척시,남양동,2019-12-08,0.012
속초시,금호동,2019-12-08,0.025
태백시,황지동,2019-12-08,0.012
춘천시,중앙로,2019-12-09,0.032
춘천시,석사동,2019-12-09,0.038
원주시,중앙동,2019-12-09,0.036
원주시,반곡동,2019-12-09,0.034
원주시,문막읍,2019-12-09,0.033
강릉시,옥천동,2019-12-09,0.014
동해시,천곡동,2019-12-09,0.025
삼척시,남양동,2019-12-09,0.018
속초시,금호동,2019-12-09,0.024
태백시,황지동,2019-12-09,0.014
춘천시,중앙로,2019-12-10,0.033
춘천시,석사동,2019-12-10,0.042
원주시,중앙동,2019-12-10,0.042
원주시,반곡동,2019-12-10,0.041
원주시,문막읍,2019-12-10,0.032
강릉시,옥천동,2019-12-10,0.023
동해시,천곡동,2019-12-10,0.032
삼척시,남양동,2019-12-10,0.026
속초시,금호동,2019-12-10,0.022
태백시,황지동,2019-12-10,0.017
춘천시,중앙로,2019-12-11,0.017
춘천시,석사동,2019-12-11,0.020
원주시,중앙동,2019-12-11,0.022
원주시,반곡동,2019-12-11,0.025
원주시,문막읍,2019-12-11,0.019
강릉시,옥천동,2019-12-11,0.015
동해시,천곡동,2019-12-11,0.019
삼척시,남양동,2019-12-11,0.014
속초시,금호동,2019-12-11,0.009
태백시,황지동,2019-12-11,0.012
춘천시,중앙로,2019-12-12,0.013
춘천시,석사동,2019-12-12,0.019
원주시,중앙동,2019-12-12,0.023
원주시,반곡동,2019-12-12,0.018
원주시,문막읍,2019-12-12,0.021
강릉시,옥천동,2019-12-12,0.010
동해시,천곡동,2019-12-12,0.006
삼척시,남양동,2019-12-12,0.014
속초시,금호동,2019-12-12,0.009
태백시,황지동,2019-12-12,0.012
춘천시,중앙로,2019-12-13,0.026
춘천시,석사동,2019-12-13,0.026
원주시,중앙동,2019-12-13,0.027
원주시,반곡동,2019-12-13,0.026
원주시,문막읍,2019-12-13,0.024
강릉시,옥천동,2019-12-13,0.011
동해시,천곡동,2019-12-13,0.027
삼척시,남양동,2019-12-13,0.021
속초시,금호동,2019-12-13,0.017
태백시,황지동,2019-12-13,0.017
춘천시,중앙로,2019-12-14,0.022
춘천시,석사동,2019-12-14,0.025
원주시,중앙동,2019-12-14,0.028
원주시,반곡동,2019-12-14,0.025
원주시,문막읍,2019-12-14,0.023
강릉시,옥천동,2019-12-14,0.017
동해시,천곡동,2019-12-14,0.016
삼척시,남양동,2019-12-14,0.016
속초시,금호동,2019-12-14,0.016
태백시,황지동,2019-12-14,0.014
춘천시,중앙로,2019-12-15,0.024
춘천시,석사동,2019-12-15,0.025
원주시,중앙동,2019-12-15,0.027
원주시,반곡동,2019-12-15,0.026
원주시,문막읍,2019-12-15,0.022
강릉시,옥천동,2019-12-15,0.015
동해시,천곡동,2019-12-15,0.025
삼척시,남양동,2019-12-15,0.014
속초시,금호동,2019-12-15,0.024
태백시,황지동,2019-12-15,0.016
춘천시,중앙로,2019-12-16,0.027
춘천시,석사동,2019-12-16,0.008
원주시,중앙동,2019-12-16,0.029
원주시,반곡동,2019-12-16,0.032
원주시,문막읍,2019-12-16,0.025
강릉시,옥천동,2019-12-16,0.027
동해시,천곡동,2019-12-16,0.033
삼척시,남양동,2019-12-16,0.020
속초시,금호동,2019-12-16,0.032
태백시,황지동,2019-12-16,0.022
춘천시,중앙로,2019-12-17,0.025
춘천시,석사동,2019-12-17,0.015
원주시,중앙동,2019-12-17,0.028
원주시,반곡동,2019-12-17,0.034
원주시,문막읍,2019-12-17,0.027
강릉시,옥천동,2019-12-17,0.019
동해시,천곡동,2019-12-17,0.027
삼척시,남양동,2019-12-17,0.025
속초시,금호동,2019-12-17,0.015
태백시,황지동,2019-12-17,10.509
춘천시,중앙로,2019-12-18,0.016
춘천시,석사동,2019-12-18,0.018
원주시,중앙동,2019-12-18,0.023
원주시,반곡동,2019-12-18,0.022
