ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±Õ Àü¿î·®(1/10),Æò±Õ ÁßÇÏÃþ¿î·®(1/10)
105,°­¸ª,2021-08-01,29.7,6.8,2.1
105,°­¸ª,2021-08-02,29.2,8.6,3.6
105,°­¸ª,2021-08-03,29.3,6.8,
105,°­¸ª,2021-08-04,31.2,5.0,2.1
105,°­¸ª,2021-08-05,31.4,5.0,1.3
105,°­¸ª,2021-08-06,29.4,6.9,3.0
105,°­¸ª,2021-08-07,28.1,6.9,3.3
105,°­¸ª,2021-08-08,24.6,8.4,5.3
105,°­¸ª,2021-08-09,24.4,7.3,4.9
105,°­¸ª,2021-08-10,24.5,6.4,2.1
105,°­¸ª,2021-08-11,25.7,5.6,2.4
105,°­¸ª,2021-08-12,25.3,8.3,4.5
105,°­¸ª,2021-08-13,25.0,8.8,3.9
105,°­¸ª,2021-08-14,23.2,8.4,3.8
105,°­¸ª,2021-08-15,23.3,6.9,3.4
105,°­¸ª,2021-08-16,23.5,6.5,
105,°­¸ª,2021-08-17,21.9,9.4,
105,°­¸ª,2021-08-18,22.4,8.9,4.1
105,°­¸ª,2021-08-19,23.1,8.1,3.8
105,°­¸ª,2021-08-20,24.1,5.6,5.3
105,°­¸ª,2021-08-21,24.9,7.5,2.1
105,°­¸ª,2021-08-22,26.9,7.3,2.3
105,°­¸ª,2021-08-23,24.9,9.1,1.9
105,°­¸ª,2021-08-24,23.2,9.4,3.8
105,°­¸ª,2021-08-25,23.2,7.1,4.4
105,°­¸ª,2021-08-26,25.1,9.1,5.9
105,°­¸ª,2021-08-27,24.6,9.5,4.6
105,°­¸ª,2021-08-28,26.4,7.0,2.9
105,°­¸ª,2021-08-29,25.4,7.5,4.5
105,°­¸ª,2021-08-30,25.4,7.8,3.3
105,°­¸ª,2021-08-31,21.7,8.3,4.1
105,°­¸ª,2021-09-01,20.0,8.5,5.5
105,°­¸ª,2021-09-02,21.7,5.3,3.3
105,°­¸ª,2021-09-03,22.0,3.3,1.8
105,°­¸ª,2021-09-04,21.2,5.0,3.4
105,°­¸ª,2021-09-05,22.1,6.1,2.9
105,°­¸ª,2021-09-06,22.2,9.0,3.1
105,°­¸ª,2021-09-07,20.6,9.8,4.0
105,°­¸ª,2021-09-08,21.5,3.0,2.0
105,°­¸ª,2021-09-09,24.1,4.6,1.4
105,°­¸ª,2021-09-10,23.9,5.0,0.9
105,°­¸ª,2021-09-11,25.7,2.0,0.9
105,°­¸ª,2021-09-12,23.6,3.1,2.6
105,°­¸ª,2021-09-13,22.8,7.1,3.6
105,°­¸ª,2021-09-14,21.8,6.4,1.5
105,°­¸ª,2021-09-15,21.9,5.9,3.3
105,°­¸ª,2021-09-16,21.0,7.9,5.3
105,°­¸ª,2021-09-17,19.5,8.3,3.9
105,°­¸ª,2021-09-18,21.4,4.8,1.9
105,°­¸ª,2021-09-19,21.5,7.6,3.1
105,°­¸ª,2021-09-20,21.7,5.4,1.9
105,°­¸ª,2021-09-21,22.8,6.1,0.5
105,°­¸ª,2021-09-22,23.6,5.4,0.6
105,°­¸ª,2021-09-23,22.3,4.0,2.5
105,°­¸ª,2021-09-24,19.8,5.6,1.4
105,°­¸ª,2021-09-25,19.3,6.6,
105,°­¸ª,2021-09-26,20.5,5.1,2.3
105,°­¸ª,2021-09-27,19.7,9.1,5.4
105,°­¸ª,2021-09-28,20.7,7.9,6.8
105,°­¸ª,2021-09-29,20.0,8.9,6.4
105,°­¸ª,2021-09-30,21.1,0.8,0.1
105,°­¸ª,2021-10-01,20.8,0.9,0.6
